Date,Open,High,Low,Close,Adj Close,Volume,Day
9/26/13,34,34.119999,33.91,34.040001,24.917706,198400,0
9/27/13,33.900002,33.91,33.759998,33.849998,24.778622,374500,1
9/30/13,33.619999,33.73,33.5,33.650002,24.632221,308100,2
10/1/13,33.619999,33.84,33.619999,33.810001,24.74934,198700,3
10/2/13,33.630001,33.709999,33.459999,33.700001,24.668818,288600,4
10/3/13,33.650002,33.650002,33.279999,33.41,24.456537,316100,5
10/4/13,33.419998,33.580002,33.349998,33.549999,24.559015,165300,6
10/7/13,33.310001,33.52,33.259998,33.360001,24.419941,354400,7
10/8/13,33.369999,33.389999,33.110001,33.119999,24.244251,262400,8
10/9/13,33.16,33.27,33.060001,33.139999,24.258892,361600,9
10/10/13,33.540001,33.84,33.459999,33.84,24.771305,380500,10
10/11/13,33.830002,34.080002,33.810001,34.060001,24.932344,225600,11
10/14/13,33.900002,34.200001,33.830002,34.189999,25.027508,253400,12
10/15/13,34.16,34.200001,33.880001,33.939999,24.844507,247500,13
10/16/13,34.060001,34.34,34.060001,34.330002,25.129984,230400,14
10/17/13,34.279999,34.650002,34.25,34.619999,25.342272,430700,15
10/18/13,34.73,34.73,34.5,34.630001,25.349596,380500,16
10/21/13,34.639999,34.639999,34.470001,34.580002,25.312992,244600,17
10/22/13,34.709999,34.900002,34.630001,34.830002,25.495991,650200,18
10/23/13,34.830002,34.849998,34.700001,34.790001,25.466711,392900,19
10/24/13,34.880001,34.959999,34.830002,34.91,25.554552,169100,20
10/25/13,35.07,35.139999,34.939999,35.139999,25.722914,178900,21
10/28/13,35.189999,35.389999,35.150002,35.32,25.854683,297500,22
10/29/13,35.43,35.580002,35.41,35.580002,26.045008,295400,23
10/30/13,35.610001,35.610001,35.279999,35.34,25.869324,315300,24
10/31/13,35.360001,35.560001,35.299999,35.330002,25.861992,221000,25
11/1/13,35.41,35.509998,35.23,35.400002,25.913242,328300,26
11/4/13,35.580002,35.580002,35.389999,35.52,26.001078,487700,27
11/5/13,35.419998,35.560001,35.32,35.490002,25.979124,288400,28
11/6/13,35.68,35.830002,35.610001,35.830002,26.227995,2228500,29
11/7/13,35.860001,35.869999,35.400002,35.419998,25.927874,455200,30
11/8/13,35.439999,35.740002,35.32,35.740002,26.162127,269400,31
11/11/13,35.75,35.779999,35.689999,35.740002,26.162127,297400,32
11/12/13,35.689999,35.740002,35.599998,35.689999,26.125521,262300,33
11/13/13,35.59,35.900002,35.549999,35.900002,26.279242,256800,34
11/14/13,35.919998,36.169998,35.919998,36.130001,26.447615,285400,35
11/15/13,36.220001,36.23,36.049999,36.23,26.520805,408300,36
11/18/13,36.32,36.330002,36.099998,36.16,26.46957,358600,37
11/19/13,36.119999,36.240002,36.060001,36.110001,26.432972,230300,38
11/20/13,36.169998,36.220001,35.889999,35.990002,26.345133,216000,39
11/21/13,36.119999,36.240002,36.099998,36.200001,26.498852,2338900,40
11/22/13,36.220001,36.360001,36.119999,36.349998,26.608643,204100,41
11/25/13,36.450001,36.450001,36.25,36.290001,26.564739,406000,42
11/26/13,36.32,36.349998,36.220001,36.220001,26.513493,230600,43
11/27/13,36.279999,36.290001,36.18,36.259998,26.542767,213500,44
11/29/13,36.380001,36.43,36.209999,36.23,26.520805,102600,45
12/2/13,36.27,36.27,36.029999,36.060001,26.396374,349200,46
12/3/13,36.02,36.099998,35.869999,36.009998,26.359764,257900,47
12/4/13,35.900002,36.060001,35.669998,35.900002,26.279242,228800,48
12/5/13,35.849998,35.880001,35.720001,35.75,26.169453,148000,49
12/6/13,36.119999,36.259998,36.060001,36.259998,26.542767,185700,50
12/9/13,36.220001,36.41,36.220001,36.299999,26.572052,363100,51
12/10/13,36.259998,36.259998,36.060001,36.09,26.418333,305000,52
12/11/13,36.130001,36.130001,35.75,35.799999,26.206047,294700,53
12/12/13,35.799999,35.810001,35.48,35.540001,26.015722,324100,54
12/13/13,35.619999,35.619999,35.439999,35.52,26.001078,357300,55
12/16/13,35.720001,35.82,35.650002,35.700001,26.132843,341800,56
12/17/13,35.759998,35.759998,35.549999,35.610001,26.066963,292900,57
12/18/13,35.700001,36.240002,35.419998,36.200001,26.498852,376500,58
12/19/13,36.18,36.189999,36,36.16,26.46957,207100,59
12/20/13,36.23,36.450001,36.200001,36.369999,26.623287,317300,60
12/23/13,36.299999,36.32,36.099998,36.16,26.652042,435100,61
12/24/13,36.18,36.310001,36.18,36.279999,26.740479,95100,62
12/26/13,36.369999,36.549999,36.34,36.540001,26.932119,295100,63
12/27/13,36.549999,36.66,36.509998,36.549999,26.939497,378100,64
12/30/13,36.630001,36.630001,36.5,36.560001,26.946865,358200,65
12/31/13,36.630001,36.689999,36.549999,36.66,27.020571,363000,66
